CustomerID,CustomerName,City,State,Email
C001,Arun Kumar,Chennai,Tamil Nadu,arun@gmail.com
C002,Priya S,Coimbatore,Tamil Nadu,priya@gmail.com
C003,Rahul M,Bangalore,Karnataka,rahul@gmail.com
C004,Divya R,Kochi,Kerala,divya@gmail.com
C005,Karthik P,Madurai,Tamil Nadu,karthik@gmail.com
C006,Meena S,Trichy,Tamil Nadu,meena@gmail.com
C007,Vijay K,Hyderabad,Telangana,vijay@gmail.com
C008,Anitha R,Mysore,Karnataka,anitha@gmail.com
C009,Suresh M,Salem,Tamil Nadu,suresh@gmail.com
C010,Lakshmi P,Kochi,Kerala,lakshmi@gmail.com
